val_sensitivity   , val_precision     , val_auroc         , epoch, val_loss           , step, val_specificity   , val_accuracy      , unlabeled_data_utilization, train_loss         , test_auroc        , test_specificity  , test_sensitivity  , test_precision    , test_accuracy
0.761904776096344 , 0.8648648858070374, 0.8337825536727905,    68, 0.43722617626190186, 1862, 0.9056603908538818, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    68,                    , 1862,                   ,                   ,      0.3092088997364044   , 0.4055474102497101 ,                   ,                   ,                   ,                   ,  
0.7857142686843872, 0.8918918967247009, 0.8551213145256042,    69, 0.32921552658081055, 1889, 0.9245282411575317, 0.8631578683853149,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    69,                    , 1889,                   ,                   ,      0.3298783302307129   , 0.39845409989356995,                   ,                   ,                   ,                   ,  
0.7142857313156128, 0.9090909361839294, 0.828840970993042 ,    70, 0.65437912940979   , 1916, 0.9433962106704712, 0.8421052694320679,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    70,                    , 1916,                   ,                   ,      0.3324475884437561   , 0.42507752776145935,                   ,                   ,                   ,                   ,  
0.7857142686843872, 0.8684210777282715, 0.8456873297691345,    71, 0.36297985911369324, 1943, 0.9056603908538818, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    71,                    , 1943,                   ,                   ,      0.30900609493255615  , 0.39483606815338135,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.8611111044883728, 0.8218778371810913,    72, 0.43484899401664734, 1970, 0.9056603908538818, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    72,                    , 1970,                   ,                   ,      0.3351595997810364   , 0.4008306860923767 ,                   ,                   ,                   ,                   ,  
0.761904776096344 , 0.8888888955116272, 0.8432164788246155,    73, 0.40699833631515503, 1997, 0.9245282411575317, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    73,                    , 1997,                   ,                   ,      0.3280482590198517   , 0.4270661771297455 ,                   ,                   ,                   ,                   ,  
0.761904776096344 , 0.8421052694320679, 0.824348509311676 ,    74, 0.367967814207077  , 2024, 0.8867924809455872, 0.8315789699554443,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    74,                    , 2024,                   ,                   ,      0.32582888007164     , 0.4273587465286255 ,                   ,                   ,                   ,                   ,  
0.6904761791229248, 0.8787878751754761, 0.8075022101402283,    75, 0.3676661550998688 , 2051, 0.9245282411575317, 0.821052610874176 ,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    75,                    , 2051,                   ,                   ,      0.3416433036327362   , 0.40624818205833435,                   ,                   ,                   ,                   ,  
0.761904776096344 , 0.8888888955116272, 0.8432164788246155,    76, 0.3258093297481537 , 2078, 0.9245282411575317, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    76,                    , 2078,                   ,                   ,      0.3343520164489746   , 0.3955063819885254 ,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.9117646813392639, 0.8407456874847412,    77, 0.36659398674964905, 2105, 0.9433962106704712, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    77,                    , 2105,                   ,                   ,      0.3597516119480133   , 0.4012324810028076 ,                   ,                   ,                   ,                   ,  
0.738095223903656 , 0.9117646813392639, 0.8407456874847412,    78, 0.3436059355735779 , 2132, 0.9433962106704712, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    78,                    , 2132,                   ,                   ,      0.3367764949798584   , 0.42684149742126465,                   ,                   ,                   ,                   ,  
0.761904776096344 , 0.8888888955116272, 0.8432164788246155,    79, 0.364031046628952  , 2159, 0.9245282411575317, 0.8526315689086914,                           ,                    ,                   ,                   ,                   ,                   ,  
                  ,                   ,                   ,    79,                    , 2159,                   ,                   ,      0.3312245011329651   , 0.4218449592590332 ,                   ,                   ,                   ,                   ,  
